"orden";"grupo";"dataset";"question_id";"documento";"tipo_pregunta";"dificultad";"pregunta";"respuesta_historica";"decision_clinica_final";"completitud_final";"citas_final";"observaciones_previas";"resultado_david";"evidencia_y_respuesta_propuesta";"causa";"requiere_revision_semfyc";"notas"
"1";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_S0212656724002701_704acc3f6bb6";"S0212656724002701";"factual";"low";"¿Cuál es el cáncer más frecuente en España en número de nuevos casos y cuántos casos nuevos se registran?";"El cáncer más frecuente en España en número de nuevos casos es el cáncer colorrectal, con 44.294 nuevos casos en 2022. [Guía: Recomendaciones PAPPS, Página: 2] **Fuentes consultadas:** - [Guía: Recomendaciones PAPPS, Página: 2]";"incorrect";"incomplete";"no";"Los datos son de 2022 y las citas son antiguas, pero aparte de eso las respuesta que da son incorrectas | Los datos de la referencia son de 2022. Pertenecen al Global Cancer Observatory (GCO) de la OMS, que ya tiene datos de 2024.";"El cáncer más frecuente en España en número de nuevos casos es el colorrectal, con 39.421 casos nuevos.";"En la página 4 de **S0212656724002701 hay una tabla con la incidencia del cancer en España, el docuemento porta datos de 2024 por tanto es información más actuliazada.**";"Documento antiguo";"no";"El error estaba en que cogía el dato de un docuemtno más antiguo pero ahora lo coge bien con uno de datos de 2024 (teoricamente dicho docuemtno habría sido añadido posteriormente de haber hecho la pregunta que se revisa pero antes de que se haga la revisión)."
"2";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_S0212656724002713_091b552f359a";"S0212656724002713";"treatment";"low";"¿Qué pauta de vacuna frente al VPH corresponde a una chica de 15 años no vacunada previamente y qué intervalo se usa para la vacuna nonavalente?";"Se administran **2 dosis** de vacuna frente al VPH en chicas de 15 años no vacunadas previamente, con una separación de **al menos 6 meses**. [Guía: Guía de Actuación 22, Página: 27] Para la **vacuna nonavalente (VPH9)**, la pauta de **2 dosis** es a los **0 y 5-13 meses**. [Guía: Recomendaciones PAPPS, Página: 8] **Fuentes consultadas:** - [Guía: Guía de Actuación 22, Página: 27] - [Guía: Recomendaciones PAPPS, Página: 8]";"incorrect";"incomplete";"no";"Las dos bibiografias referenciadas principales son correctas, pero las recomendaciones son distintas según cada una de ellas; sin embargo solo ha cogido una y no ha comentado la otra. Según (1), tal y como pone a pie de tabla 3 de la pag 1879, ""Si se inicia la vacunación a partir de los 15 años se administrarán 3 dosis con pauta 0, 1-2, 6 meses (según vacuna utilizada)"" , pero según la referencia (2) tabla 8, pagina 8 ""Captación de las mujeres no vacunadas hasta los 18 años y de varonesa no vacunados a partir de la fecha de introducción en el calendario de vacunación. 0 y 6 meses"". Como la referencia (1) es previa a 2022 y la (2) usa referencia de 2024, tomaría la (2) como correcta, pero entiendo que si referencia las 2, debería nombrar las dos | La respuesta es incorrecta, no se corresponde con el calendario vacunal en vigor en el momento de la edición de la guía de actuación. El formato que da de la cita es ilegible. Las citas incluyen informacón de otras vacunas, lo que confunde. Se incluyen referencias sin relación. esta recomendación es anticuada, porque cambió en 2026. El CIT dice: Virus del Papiloma Humano (VPH) Vacunación a los 12 años: Se administrará 1 dosis a niños y niñas. Vacunación después de los 12 y hasta los 18 años: Captación de las mujeres y hombres no vacunados hasta los 18 años (incluidos) con pauta de 1 dosis. Esta captación se podrá realizar progresivamente en hombres.";"A una chica de 15 años no vacunada previamente le corresponde iniciar la vacunación frente al VPH con **3 dosis**; en las personas de **15 a 25 años** se pasa de una pauta de 3 a 2 dosis, pero para las personas de **26 y más años** y en aquellas con inmunosupresión se mantiene la pauta de 3 dosis.

Para la **vacuna nonavalente (VPH9)**, el intervalo indicado es **0 y 5-13 meses** en la pauta de 2 dosis, y **0, 2 y 6 meses** en la pauta de 3 dosis.";"Solo me da como fuente citada la página 8 del documento **S0212656724002713, la respuesta es un poco liosa porque te responde sobre dos casos diferentes sin dejar claro del todo cual es la respuesta a tu pregunta inicial.**";"Creo que la guía de forma inicial no lo deja clao del todo y por eso no sabe dar una respuesat clara y concisa.";"si, para determianr cual es el caso correcto.";"En la guía en el caso que se pregunta dice que en casos de edades entre 15 y 25 años se debe apsar de 3 a 2 dosis pero no especifican que ocurre si ya ha habido alguna vacunación previa, asumo que es en caso de qeu no haya tenido ninguna antes y por tanto la respuesta correcta debería ser 2 dosis. La segunda parte de la pregunta está de forma clara en la guía y por tanto la sabe responder sin problemas."
"3";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_S0212656724002737_0a3e5313b779";"S0212656724002737";"workflow";"medium";"¿Qué infecciones hay que crib ar en la atención preconcepcional y en qué grupos de pacientes se recomienda cada una?";"En la atención preconcepcional se recomienda el cribado de las siguientes infecciones y en estos grupos de pacientes: - **Clamidia y gonorrea:** en **mujeres sexualmente activas con alto riesgo de infección**. [Guía: S0212656724002737, Página: 3] - **Enfermedad de Chagas:** en **mujeres en edad reproductiva nacidas o que vivieron en países endémicos de América Central o del Sur**. [Guía: S0212656724002737, Página: 3] - **Hepatitis B:** en **adolescentes y adultos con alto riesgo de infección**. [Guía: S0212656724002737, Página: 3] - **Hepatitis C:** en **adultos ≥ 18 años**. [Guía: S0212656724002737, Página: 3] - **Sífilis:** en **pacientes con alto riesgo de infección**. [Guía: S0212656724002737, Página: 3] - **VIH:** en **pacientes ≥ 15 años**. [Guía: S0212656724002737, Página: 3] Además, para **VHS** se indica **no realizar cribado**. Si hay historia de infección previa, se podría usar terapia antiviral supresora para evitar la transmisión vertical. [Guía: S0212656724002737, Página: 3] **Fuentes consultadas:** - [Guía: S0212656724002737, Página: 3]";"incorrect";"incomplete";"partial";"Falta informacion sobre rubeola, varicela, tetanos, hepatitis B , el cribado de VIH preconcepcional no es a todas las muejres mayores de 15 sino en poblacion de riesgo. | En la tabla 2 se explica cuáles son los grupos de riesgo, que es una información muy relevante. Además sobre citar la tabla 1, que no responde a esta pregunta.";"En la atención preconcepcional, se recomienda el cribado de las siguientes infecciones y en estos grupos de pacientes:

- **Clamidia y gonorrea:** en **mujeres sexualmente activas con alto riesgo de infección**.
- **Enfermedad de Chagas:** en **mujeres en edad reproductiva nacidas o que vivieron en países endémicos de América Central o del Sur**.
- **Hepatitis B:** en **adolescentes y adultos con alto riesgo de infección**.
- **Hepatitis C:** en **adultos ≥ 18 años**.
- **Sífilis:** en **pacientes con alto riesgo de infección**.
- **VIH:** en **pacientes ≥ 15 años**.
- **VHS:** **no realizar cribado**.";"La única cita es la página 33 de **S0212656724002737, al parecer la respuesta no está completa pues faltan algunas infecciones (rubeolda, varicela, hepatitits...).**";"La causa es que directamente no aparecen en la propia guía, hay una tabla de donde está sacando los daos y ahí directamente no aparece nada dobre esas otras enfermedades. Salen más abajo en otra tabla que aunque si que hablan del cribado, en el titulo de la tabla noo pone que vayan a hablar de ello, solo dice ""Recomendaciones de vacunación en la atención preconcepcional"", a diferencia de la tabla de donde si que captó bien los datos qeu pone ""Recomendaciones para el cribado de enfermedades infecciosas en la atención preconcepcional"", también es posible que exista uun error ya que auqneue la rubeola y demás sean enfermedades inffecciosas y la pregunta pregunte por ellas en el titulo de la tabla no pone que se traten de enfermedades infecciosas por ello no me sorprendería que apra generar la respuesta no las haya tomado como tal.";"si";"Es importante que los titulos de las tablas reflejen bien el contenido qeu habrá dentro de ellas."
"4";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_1_6b3f20cf3281";"Guía de Actuación 1";"differential";"medium";"Un paciente presenta coloración gris-azulada en la piel y toma minociclina. ¿Qué causas de esa coloración debo considerar además de los fármacos?";"Además de los fármacos, en la coloración gris-azulada debes considerar **metales pesados** como **polvo de plata (argiria), polvo de oro, bismuto y mercurio**, así como la **ocronosis (alcaptonuria)**, una enfermedad hereditaria que cursa con **orina oscura y artropatía degenerativa**. [Guía: Guía de Actuación 1, Página: 4] **Fuentes consultadas:** - [Guía: Guía de Actuación 1, Página: 4]";"incorrect";"incomplete";"partial";"En el texto, cita las casuas de la coloración gris azulada, la primera y más relevante por frecuencia y gravedad, la cianosis. La respuesta no la cita. | Además de los trastornos pigmentarios, la coloración gris-azulada puede deberse a otras causas (cianosis)";"Además de los fármacos, en la coloración gris-azulada debes considerar:

- **Metales pesados**: polvo de plata (argiria), polvo de oro, bismuto y mercurio.
- **Ocronosis (alcaptonuria)**: enfermedad hereditaria que cursa con orina oscura y artropatía degenerativa.";"La evidencia es la página 4 de **Guía de Actuación 1, le falta decir la Cianosis como la causa más probable y con mayor gravedad.**";"La respuesta que ha dado aunque forma parte del apartado de Coloración gris-azulada, no responde con Cianosis porque directamente recurre al punto de transtornos pigmentarios.";"No";"Creo que como en al guía aparecen en puntos seguidos pero diferentes no lo ha sabido captar bien."
"5";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_13_768598766c2f";"Guía de Actuación 13";"referral";"low";"¿Cuándo hay que derivar estos casos a urgencias pediátricas y cuándo a un subespecialista?";"Casos agudos a **urgencias pediátricas del hospital de referencia**; los **cuadros crónicos** al **subespecialista** (neurología pediátrica, unidad de nutrición, unidad de metabolopatías, etc.). [Guía: Guía de Actuación 13, Página: 6] En el algoritmo del exantema, la **derivación a urgencias pediátricas hospitalarias** se indica ante **petequias con características clínicas de riesgo**; el resto se orienta a **control en APS** o **derivación según sospecha**. [Guía: Guía de Actuación 13, Página: 54] En el mismo algoritmo, también se indica **urgencias pediátricas hospitalarias** para los exantemas **petequiales con fiebre** y signos de alarma como **afectación del estado general, somnolencia, irritabilidad, rigidez de nuca, petequias > 2 mm, distribución generalizada y/o rápido aumento en número o tamaño**. [Guía: Guía de Actuación 13, Página: 54] En los vómitos, la **derivación urgente** es para **vómitos agudos con signos de alarma** y para **vómitos en el recién nacido**; la **interconsulta a pediatría** es para **vómitos mantenidos con afectación del estado nutricional**. [Guía: Guía de Actuación 13, Página: 30] En las convulsiones en la infancia, si el niño presenta una **convulsión activa** se señala como **prioritario el tratamiento urgente para estabilizarlo**. [Guía: Guía de Actuación 13, Página: 41] En caso de **exantemas petequiales con fiebre**, se recomienda **derivación urgente al hospital** para realizar pruebas complementarias y descartar, en primer lugar, la enfermedad meningocócica invasora. [Guía: Guía de Actuación 13, Página: 56] **Fuentes consultadas:** - [Guía: Guía de Actuación 13, Página: 6] - [Guía: Guía de Actuación 13, Página: 54] - [Guía: Guía de Actuación 13, Página: 30] - [Guía: Guía de Actuación 13, Página: 41] - [Guía: Guía de Actuación 13, Página: 56]";"incorrect";"complete";"yes";"Esta mal formulada la pregunta. Porque si se refiere a cuadros anteriores de errores del metabolismo bastaría la explicación dada en unidad 13 de errores del metabolismo congénitos, pero el resto de respuestas corresponden a situaciones de urgencias hospitalarias y no están todas y/ derivación a otras especialidades. No especifica qué tipo de problema o caso, luego no se puede contestar así la pregunta. | Poca precisión en la pregunta respecto a los casos a los que se refiere.";"La derivación depende del tipo de caso:

- **Casos agudos**: se derivan a **urgencias pediátricas del hospital de referencia**.
- **Cuadros crónicos**: se derivan al **subespecialista** correspondiente, como neurología pediátrica, unidad de nutrición o unidad de metabolopatías.

En el contexto de los **errores congénitos del metabolismo**, además se indica que:

- El **deterioro clínico inexplicable de un neonato** obliga a descartar un ECM.
- En las **situaciones de emergencia**, hay que investigar los ECM tratables y congelar muestras de orina y plasma para estudios ulteriores.";"La evidencia está en la página 6 de la **Guía de Actuación 13 y me parece una respuesta aceptable para la poca precisión de la pregunta.**";"La pregunta es poco concreta.";"no";"No estoy seguro de la respuesta esperada a esta pregunta."
"6";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_16_5c09b98fbef2";"Guía de Actuación 16";"case";"medium";"Tengo un paciente con una enfermedad crónica que consulta por un nuevo problema de salud. ¿A qué profesional debería acudir primero y cuándo entraría el médico de familia?";"La atención de las personas con un problema de salud crónico debe plantearse como una actividad de enfermería y de la trabajadora social, y el médico de familia actuaría como consultora cuando el caso lo requiera. [Guía: Guía de Actuación 16, Página: 7] En la agenda de enfermería, esta debe ser una de las puertas de entrada normalizada al sistema de salud y siempre la primera puerta para quienes acuden por primera vez a inscribirse en el EAP; además, para las situaciones consensuadas, los pacientes pueden acceder directamente a ella. [Guía: Guía de Actuación 16, Página: 6]";"incorrect";"incomplete";"partial";"La pregunta hace referencia a atención de nuevos problemas de salud en el paciente con enfermedad crónica. La contestación ha tomado parte de una frase que estaba referenciada a la atención domiciliaria del paciente con enfermedad crónica, y no a la pregunta que no referencia en ningún momento atención domiciliaria.";"En la agenda de enfermería, enfermería debe ser una de las puertas de entrada normalizada al sistema de salud y siempre la primera puerta para quienes acuden por primera vez a inscribirse en el EAP; además, para la cronicidad, enfermería debe asumir autónomamente las actividades preventivas, la promoción de la salud y ser referente directo de las personas con un problema de salud crónico, quedando los/las médicos/as de familia como consultores en caso de descompensación o nuevos problemas de salud. [1]

En la atención domiciliaria de personas que padecen un problema de salud crónico, se plantea como una actividad de la enfermera y de la trabajadora social, y la médico de familia actuaría como consultora cuando el caso lo requiera. [2]";"La evidencia es **Guía de Actuación 16**- Pág. 1488 · PDF 6 y **Guía de Actuación 16**- Pág. 1489 · PDF 7.";"Por falta de la información concreta en la guía, la respuesta es poco concreta y además mezcla con texto que hace referencia a la atención domiciliaria, la cual no se menciona en la pregunta.";"si, solo si quieren puntualizar de forma clara qué hacer en ese caso porque se puede entender entre lineas que todos os casos de primeras van a caer a enfemería pero no se dice expresamente.";""
"7";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_S0212656724002701_c71a245712a7";"S0212656724002701";"no_answer";"high";"¿Qué tipo de pregunta sería la derivación o el tratamiento inicial de un paciente con sospecha de cáncer de páncreas?";"Si el paciente presenta **dolor abdominal con pérdida de peso en ≥ 60 años**, se debe **considerar TC antes de 2 semanas** y, **si no está disponible**, realizar **ecografía urgente**. [Guía: Recomendaciones PAPPS, Página: 14] Los **síntomas de presentación del cáncer de páncreas** incluyen: **diarrea, dolor de espalda, dolor abdominal, náuseas, vómitos, estreñimiento y diabetes de nueva aparición**. [Guía: Recomendaciones PAPPS, Página: 14]";"incorrect";"incomplete";"yes";"No entiendo la pregunta. Creo que está mal formulada e induce a error. | Pregunta mal formulada. En base a la respuesta propuesta, la pregunta podría ser: ¿Qué signos y síntomas nos harían sospechar un cáncer de páncreas y cómo deberíamos actuar?";"En el contexto aportado, para **cáncer de páncreas** la recomendación es: **“Dolor abdominal con pérdida de peso en ≥ 60 años, considerar TC antes de 2 semanas, y en caso de no disponibilidad, ecografía urgente”**. [1]

Además, en la **Guía de Actuación 21** se indica que, ante un **“dolor abdominal con pérdida de peso en ≥ 60 años”**, se debe **considerar TC antes de 2 semanas** y, si no está disponible, **ecografía urgente**. [2]";"**Guía de Actuación 21**- Pág. 1808 · PDF 58, **S0212656724002701**- Pág. 14 y **Guía de Actuación 21**- Pág. 1807 · PDF 57.";"Creo que la pregunta es confusa e induce el error de la búsqueda.";"no.";"No contaría esta como un fallo porque creo que la pregunta está mal formulada."
"8";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_3_a9c1b38a003b";"Guía de Actuación 3";"workflow";"medium";"Si el dolor torácico tiene características pleuríticas o pericárdicas y el inicio fue súbito, ¿qué pruebas se recomiendan y qué diagnósticos orientan ese tramo del algoritmo?";"Si el dolor torácico es de tipo pleurítico o pericárdico y el inicio fue súbito, el algoritmo recomienda realizar **Rx de tórax y ECG**. Ese tramo orienta a **pericarditis, neumotórax o TEP**, con **derivación urgente o tratamiento específico** según el caso. [Guía: Guía de Actuación 3, Página: 5] [Guía: Guía de Actuación 3, Página: 9] **Fuentes consultadas:** - [Guía: Guía de Actuación 3, Página: 5] - [Guía: Guía de Actuación 3, Página: 9]";"incorrect";"complete";"yes";"La pregunta no termina de quedar clara porque utiliza el concepto de tramo. La persona que lea esta pregunta debería de tener el algoritmo delante. Dejaría así la pregunta: Si el dolor torácico tiene características pleuríticas o pericárdicas y el inicio fue súbito, ¿qué pruebas se recomiendan y qué diagnósticos? | Pregunta mal formulada. No creo que sea correcto preguntar sobre un tramo del algoritmo que se supone el usuario no conoce";"Si el dolor torácico es de tipo pleurítico o pericárdico y el inicio fue súbito, el algoritmo indica realizar **radiografía de tórax y ECG**. Ese tramo orienta a **pericarditis, neumotórax y TEP**, con **derivación urgente o tratamiento específico** según el caso.";"**Guía de Actuación 3**- Pág. 5";"Creo que la segunda parte de la pregunta no la haría un paciente y además no creo que el chat esté preparado para responder eso, por otro lado, a la parte anterior de la pregunta la responde de forma correcta.";"no";"Habría que revisar por encima cómo son las preguntas que se hacen en estos testings pues hay partes que no parecen las propias que le haría un paciente a una herramienta de salud."
"9";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_15_3b791e0d6f5b";"Guía de Actuación 15";"treatment";"low";"¿Qué tratamiento de elección se recomienda para una fiebre tifoidea y cuál es el fármaco de primera elección para una rickettsiosis o borreliosis?";"Para la **fiebre tifoidea**, el algoritmo de infecciones importadas la sitúa como uno de los diagnósticos a considerar en el síndrome febril agudo inespecífico, pero **en el contexto aportado no aparece su tratamiento de elección**. [Guía: Guía de Actuación 15, Página: 7] Para **rickettsiosis o borreliosis**, el contexto solo indica que ambas se consideran en distintos síndromes del viajero y en la tabla de signos-guía, pero **no se especifica el fármaco de primera elección**. [Guía: Guía de Actuación 15, Página: 4]";"incorrect";"incomplete";"no";"Tabla 4, “Tratamientos de elección”, de la página 1418 de la guía de actuación: Fiebre tifoidea: ceftriaxona 2 g/24 h durante 10 días. Rickettsiosis/borreliosis: doxiciclina 100 mg/12 h durante 10 días. | La respuesta no respondea la pregunta La respuesta correcta aparece en otra referencia";"Para la **fiebre tifoidea**, la tabla de tratamiento de las infecciones importadas indica como tratamiento antibiótico de elección **ciprofloxacino 500 mg/12 h durante 5 días**; como alternativas figuran **cotrimoxazol 160/800 mg/12 h durante 5 días** y **azitromicina 500 mg/24 h durante 3 días**. [1]

Para la **rickettsiosis o borreliosis**, el contexto solo indica que en el síndrome febril agudo del viajero deben considerarse dentro de los diagnósticos diferenciales y, en el caso de la borreliosis, que la serología es demostrativa pero tardía y no debe hacerse tratamiento basado solo en hallazgos serológicos; no aporta el fármaco de primera elección para estas entidades. [2] [Guía: Guía de Actuación 25, Página impresa: 2442]

Para **rickettsiosis o borreliosis**, el contexto disponible **no incluye el tratamiento de primera elección** de forma explícita.";"**Guía de Actuación 4**- Pág. 54 y **Guía de Actuación 15**- Pág. 7.";"Lo que ha respondido no se corresponde con lo que se le pregunta, la duad está en si en la docuemtnación existe la duda a esa pregunta pues es raro que existiendo la información primero me diga que no la encunetra y depués se invente la respuesta con términos parecidos.";"si, revisar si en algún lugar d ela literatura que alimenta los datos de la herramienta se menciona la respuesta a la pregunta.";"La primera vez que le he preguntado me ha dicho que no encontraba la respuesta en la documentación que tiene. Lo que he puesto ahora en resultado_david es lo que ha salido la segunda vez que le he preguntado, reiniciando la página para que perdiera el contexto). El mensaje exacto era: Para **fiebre tifoidea**, el fragmento del algoritmo solo la menciona como diagnóstico a considerar en el síndrome febril agudo del viajero, pero **no aporta el tratamiento de elección**.

Para **rickettsiosis o borreliosis**, el contexto disponible **no incluye el tratamiento de primera elección** de forma explícita."
"10";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_6_6a30a66ad9b5";"Guía de Actuación 6";"workflow";"medium";"Llega a consulta una mujer con síntomas de ansiedad sin causa aparente. ¿Qué pruebas hay que pedir para descartar una causa médica antes de etiquetarlo como un trastorno de ansiedad primario?";"Para descartar una causa médica antes de considerar un trastorno de ansiedad primario, el contexto indica solicitar una **analítica de sangre** con **hemograma, VSG, pruebas hepáticas, función renal, calcio, iones y hormonas tiroideas**, además de **orina y ECG**. [Guía: Guía de Actuación 6, Página: 7] En el abordaje inicial también se menciona que puede ser necesario hacer una **analítica general** con **hemograma, VSG, pruebas hepáticas, función renal, calcio, iones y hormonas tiroideas** para descartar patologías subyacentes. [Guía: Guía de Actuación 6, Página: 5] **Fuentes consultadas:** - [Guía: Guía de Actuación 6, Página: 7] - [Guía: Guía de Actuación 6, Página: 5]";"incorrect";"incomplete";"yes";"Creo que la pregunta no está bien planteada porque no es necesario indicar un estudio de laboratorio clínico u otras pruebas para orientar el diagnóstico de ansiedad. Y la respuesta interpreta mal el algoritmo porque aconseja pruebas en el caso que se sospeche una enfermedad pero solo en este supuesto. | Respuesta incompleta.";"Ante un paciente con síntomas de ansiedad, el abordaje inicial incluye anamnesis, exploración física y pruebas complementarias. Para descartar una causa médica, la guía indica realizar una **analítica de sangre** con **hemograma, VSG, pruebas hepáticas, función renal, calcio, iones y hormonas tiroideas**, además de **orina y ECG**. [1] [2]";"**Guía de Actuación 6**- Pág. 5 y **Guía de Actuación 6**- Pág. 7.";"No sé cual sería la respuesta correcta a la prregunta pero leyendo la pregunta y la guía, me parece que resume bastante bien lo que pone en ella. Pues en la parte dada de observaciones previas se dice que no es necesario indicar un estudio de laboratorio clínico u otras pruebas para orientar el diagnóstico de ansiedad. Pero en la literatura pone que eso se hace debido a alta prevalencia de otras patologías asociadas a la ansiedad puede ser necesario realizar una analítica general.";"no.";"Responde a lo que se le pregunta, otra cosa será que la guía no esté correcta."
