timestamp	model_deployment	reasoning_effort	status	n_cases	n_failed	elapsed_mean	elapsed_std	prompt_tokens_mean	prompt_tokens_std	completion_tokens_mean	completion_tokens_std	total_tokens_mean	total_tokens_std	reasoning_tokens_mean	reasoning_tokens_std	response_length_mean	response_length_std	tokens_per_sec_mean	tokens_per_sec_std
2025-09-02 11:42:31	gpt-5-nano	minimal	SUCCESS	4	0	4.56	0.91	337	37	756	168	1092	202	0	0	3146	868	240.7	8.3
2025-09-02 11:43:15	gpt-5-nano	low	SUCCESS	4	0	9.37	1.58	337	37	1660	357	1996	381	832	261	3364	681	212.5	8.0
2025-09-02 11:45:28	gpt-5-nano	medium	SUCCESS	4	0	31.94	11.93	337	37	6517	2576	6854	2609	5728	2465	3131	537	214.3	2.5
2025-09-02 11:49:42	gpt-5-nano	high	SUCCESS	4	0	60.08	2.05	337	37	11950	100	12286	135	11784	432	682	1365	204.6	6.4
2025-09-02 12:01:04	gpt-5-mini	minimal	SUCCESS	4	0	12.44	2.50	337	37	1040	225	1376	254	0	0	4488	915	112.0	18.5
2025-09-02 12:02:12	gpt-5-mini	low	SUCCESS	4	0	15.79	2.13	337	37	1439	316	1776	341	368	176	4570	1577	112.2	11.5
2025-09-02 12:03:59	gpt-5-mini	medium	SUCCESS	4	0	24.96	2.05	337	37	2616	389	2953	425	1504	269	4730	964	118.3	13.3
2025-09-02 12:09:12	gpt-5-mini	high	SUCCESS	4	0	77.30	26.72	337	37	7947	2759	8284	2786	6672	2618	5228	1097	108.1	8.1
2025-09-02 12:10:16	gpt-5	minimal	SUCCESS	4	0	12.34	4.31	337	37	1024	491	1360	514	0	0	4150	2031	110.9	13.0
2025-09-02 12:13:44	gpt-5	low	SUCCESS	4	0	28.16	6.47	337	37	2180	824	2516	856	1200	529	3924	1282	87.8	10.8
2025-09-02 12:19:24	gpt-5	medium	SUCCESS	4	0	83.66	47.01	337	37	5727	2565	6064	2597	4544	2069	4682	2222	76.6	12.9
2025-09-02 12:27:21	gpt-5	high	SUCCESS	4	0	117.42	33.47	337	37	9730	1960	10067	1994	8904	2444	3252	2206	87.9	15.9
